county,year,population
Louisa ,2012,11364
Cherokee ,2012,11954
Shelby ,2012,12032
Lyon ,2012,11761
Chickasaw ,2012,12289
Union ,2012,12585
Grundy ,2012,12437
Appanoose ,2012,12713
Wright ,2012,13019
Cass ,2012,13697
Allamakee ,2012,14150
O'Brien ,2012,14154
Harrison ,2012,14474
Butler ,2012,14972
Kossuth ,2012,15407
Hamilton ,2012,15321
Mills ,2012,14874
Page ,2012,15705
Floyd ,2012,16090
Clay ,2012,16540
Iowa ,2012,16183
Madison ,2012,15639
Hardin ,2012,17360
Crawford ,2012,17292
Tama ,2012,17500
Delaware ,2012,17568
Dickinson ,2012,16929
Clayton ,2012,17947
Jefferson ,2012,17281
Poweshiek ,2012,18734
Cedar ,2012,18299
Jackson ,2012,19684
Fayette ,2012,20773
Buena Vista ,2012,20558
Henry ,2012,20003
Winneshiek ,2012,21048
Carroll ,2012,20653
Jones ,2012,20602
Buchanan ,2012,20995
Washington ,2012,21910
Mahaska ,2012,22407
Bremer ,2012,24499
Plymouth ,2012,24836
Benton ,2012,25829
Boone ,2012,26138
Marion ,2012,33277
Lee ,2012,35549
Sioux ,2012,34289
Wapello ,2012,35430
Webster ,2012,37335
Jasper ,2012,36583
Des Moines ,2012,40247
Marshall ,2012,41032
Cerro Gordo ,2012,43704
Muscatine ,2012,42922
Clinton ,2012,48711
Warren ,2012,46906
Pottawattamie ,2012,92965
Dallas ,2012,72248
Dubuque ,2012,95183
Story ,2012,92046
Woodbury ,2012,102351
Black Hawk ,2012,131904
Johnson ,2012,137180
Scott ,2012,168433
Linn ,2012,215542
Polk ,2012,444753
Adams ,2013,3890
Ringgold ,2013,4971
Audubon ,2013,5859
Osceola ,2013,6236
Taylor ,2013,6227
Wayne ,2013,6384
Pocahontas ,2013,7112
Ida ,2013,7075
Fremont ,2013,7068
Van Buren ,2013,7434
Adair ,2013,7385
Worth ,2013,7488
Monroe ,2013,7974
Decatur ,2013,8223
Lucas ,2013,8695
Monona ,2013,9030
Palo Alto ,2013,9163
Greene ,2013,9158
Davis ,2013,8767
Howard ,2013,9443
Emmet ,2013,9886
Clarke ,2013,9244
Humboldt ,2013,9682
Calhoun ,2013,9899
Sac ,2013,10028
Montgomery ,2013,10407
Franklin ,2013,10507
Keokuk ,2013,10336
Winnebago ,2013,10440
Mitchell ,2013,10663
Hancock ,2013,11134
Guthrie ,2013,10675
Louisa ,2013,11353
Cherokee ,2013,11876
Shelby ,2013,11905
Lyon ,2013,11700
Chickasaw ,2013,12273
Union ,2013,12615
Grundy ,2013,12340
Appanoose ,2013,12659
Wright ,2013,12982
Cass ,2013,13569
Allamakee ,2013,14074
O'Brien ,2013,14046
Harrison ,2013,14359
Butler ,2013,14973
Kossuth ,2013,15325
Hamilton ,2013,15347
Mills ,2013,14907
Page ,2013,15521
Floyd ,2013,16029
Clay ,2013,16440
Iowa ,2013,16286
Madison ,2013,15482
Hardin ,2013,17390
Crawford ,2013,17351
Tama ,2013,17432
Delaware ,2013,17475
Dickinson ,2013,16883
Clayton ,2013,17793
Jefferson ,2013,17632
Poweshiek ,2013,18618
Cedar ,2013,18229
Jackson ,2013,19516
Fayette ,2013,20516
Buena Vista ,2013,20649
Henry ,2013,20029
Winneshiek ,2013,20849
Carroll ,2013,20539
Jones ,2013,20522
Buchanan ,2013,21028
Washington ,2013,21954
Mahaska ,2013,22432
Bremer ,2013,24585
Plymouth ,2013,24937
Benton ,2013,25698
Boone ,2013,26294
Marion ,2013,33019
Lee ,2013,35250
Sioux ,2013,34511
Wapello ,2013,35506
Webster ,2013,37344
Jasper ,2013,36739
Des Moines ,2013,40421
Marshall ,2013,40993
Cerro Gordo ,2013,43537
Muscatine ,2013,43018
Clinton ,2013,48297
Warren ,2013,47369
Pottawattamie ,2013,92923
Dallas ,2013,74968
Dubuque ,2013,95990
Story ,2013,93938
Woodbury ,2013,102317
Black Hawk ,2013,132966
Johnson ,2013,140266
Scott ,2013,170321
Linn ,2013,216567
Polk ,2013,452780
Adams ,2014,3874
Ringgold ,2014,4961
Audubon ,2014,5768
Osceola ,2014,6231
Taylor ,2014,6172
Wayne ,2014,6375
Pocahontas ,2014,7099
Ida ,2014,6971
Fremont ,2014,7029
Van Buren ,2014,7390
Adair ,2014,7365
Worth ,2014,7558
Monroe ,2014,7952
Decatur ,2014,8216
Lucas ,2014,8633
Monona ,2014,8898
Palo Alto ,2014,9120
Greene ,2014,9127
Davis ,2014,8755
Howard ,2014,9357
Emmet ,2014,9830
Clarke ,2014,9192
Humboldt ,2014,9641
Calhoun ,2014,9845
Sac ,2014,10046
Montgomery ,2014,10386
Franklin ,2014,10433
Keokuk ,2014,10282
Winnebago ,2014,10567
Mitchell ,2014,10694
Hancock ,2014,11043
Guthrie ,2014,10690
Louisa ,2014,11254
Cherokee ,2014,11803
Shelby ,2014,11886
Lyon ,2014,11709
Chickasaw ,2014,12250
Union ,2014,12625
Grundy ,2014,12388
Appanoose ,2014,12678
Wright ,2014,12905
Cass ,2014,13394
Allamakee ,2014,14067
O'Brien ,2014,14045
Harrison ,2014,14268
Butler ,2014,14958
Kossuth ,2014,15221
Hamilton ,2014,15222
Mills ,2014,14763
Page ,2014,15487
Floyd ,2014,16008
Clay ,2014,16483
Iowa ,2014,16325
Madison ,2014,15620
Hardin ,2014,17338
Crawford ,2014,17156
Tama ,2014,17309
Delaware ,2014,17397
Dickinson ,2014,16845
Clayton ,2014,17771
Jefferson ,2014,17795
Poweshiek ,2014,18624
Cedar ,2014,18278
Jackson ,2014,19430
Fayette ,2014,20288
Buena Vista ,2014,20608
Henry ,2014,19846
Winneshiek ,2014,20708
Carroll ,2014,20495
Jones ,2014,20553
Buchanan ,2014,21135
Washington ,2014,22040
Mahaska ,2014,22466
Bremer ,2014,24678
Plymouth ,2014,24918
Benton ,2014,25620
Boone ,2014,26303
Marion ,2014,33280
Lee ,2014,35077
Sioux ,2014,34648
Wapello ,2014,35421
Webster ,2014,37085
Jasper ,2014,36891
Des Moines ,2014,40127
Marshall ,2014,40712
Cerro Gordo ,2014,43224
Muscatine ,2014,43032
Clinton ,2014,47921
Warren ,2014,47848
Pottawattamie ,2014,93332
Dallas ,2014,77758
Dubuque ,2014,96544
Story ,2014,95894
Woodbury ,2014,102333
Black Hawk ,2014,133433
Johnson ,2014,142874
Scott ,2014,171457
Linn ,2014,218223
Polk ,2014,461069
Adams ,2015,3752
Ringgold ,2015,4978
Audubon ,2015,5707
Osceola ,2015,6161
Taylor ,2015,6243
Wayne ,2015,6359
Pocahontas ,2015,6970
Ida ,2015,6967
Fremont ,2015,6910
Van Buren ,2015,7297
Adair ,2015,7142
Worth ,2015,7503
Monroe ,2015,7919
Decatur ,2015,8145
Lucas ,2015,8609
Monona ,2015,8865
Palo Alto ,2015,9137
Greene ,2015,8947
Davis ,2015,8774
Howard ,2015,9322
Emmet ,2015,9708
Clarke ,2015,9213
Humboldt ,2015,9562
Calhoun ,2015,9801
Sac ,2015,9961
Montgomery ,2015,10153
Franklin ,2015,10318
Keokuk ,2015,10169
Winnebago ,2015,10612
Mitchell ,2015,10670
Hancock ,2015,11029
Guthrie ,2015,10653
Louisa ,2015,11289
Cherokee ,2015,11488
Shelby ,2015,11799
Lyon ,2015,11755
Chickasaw ,2015,12152
Union ,2015,12431
Grundy ,2015,12402
Appanoose ,2015,12587
Wright ,2015,12843
Cass ,2015,13354
Allamakee ,2015,13881
O'Brien ,2015,13927
Harrison ,2015,14145
Butler ,2015,14880
Kossuth ,2015,15150
Hamilton ,2015,15220
Mills ,2015,14885
