county,unemployment,year
Cherokee County,5.1,2014
Chickasaw County,4.7,2014
Clarke County,4.5,2014
Clay County,4.2,2014
Clayton County,5,2014
Clinton County,5.2,2014
Crawford County,4.1,2014
Dallas County,3.3,2014
Davis County,5.1,2014
Decatur County,3.8,2014
Delaware County,3.8,2014
Des Moines County,5,2014
Dickinson County,4.7,2014
Dubuque County,4.1,2014
Emmet County,3.9,2014
Fayette County,5,2014
Floyd County,4.5,2014
Franklin County,3.9,2014
Fremont County,3.9,2014
Greene County,4,2014
Grundy County,4.1,2014
Guthrie County,4.4,2014
Hamilton County,4.5,2014
Hancock County,3.3,2014
Hardin County,4.3,2014
Harrison County,4,2014
Henry County,4.4,2014
Howard County,4,2014
Humboldt County,3.8,2014
Ida County,3.6,2014
Iowa County,4.2,2014
Jackson County,5,2014
Jasper County,4.4,2014
Jefferson County,4.4,2014
Johnson County,3.1,2014
Jones County,4.9,2014
Keokuk County,4.4,2014
Kossuth County,3.2,2014
Lee County,5.9,2014
Linn County,4.4,2014
Louisa County,4.5,2014
Lucas County,3.9,2014
Lyon County,2.5,2014
Madison County,4.5,2014
Mahaska County,4.4,2014
Marion County,3.8,2014
Marshall County,5.4,2014
Mills County,4.4,2014
Mitchell County,3.6,2014
Monona County,5,2014
Monroe County,5.1,2014
Montgomery County,4.1,2014
Muscatine County,4.5,2014
O'Brien County,3.3,2014
Osceola County,3.3,2014
Page County,4.4,2014
Palo Alto County,3.6,2014
Plymouth County,3.4,2014
Pocahontas County,3.5,2014
Polk County,4.2,2014
Pottawattamie County,4.3,2014
Poweshiek County,4.2,2014
Ringgold County,3.8,2014
Sac County,3.9,2014
Scott County,5.2,2014
Shelby County,3.1,2014
Sioux County,2.9,2014
Story County,2.9,2014
Tama County,5.3,2014
Taylor County,3.7,2014
Union County,4.7,2014
Van Buren County,4.5,2014
Wapello County,5.5,2014
Warren County,4,2014
Washington County,3.6,2014
Wayne County,5,2014
Webster County,4.8,2014
Winnebago County,4.2,2014
Winneshiek County,4.2,2014
Woodbury County,4.4,2014
Worth County,4.5,2014
Wright County,4.1,2014
Adair County,3.2,2015
Adams County,2.8,2015
Allamakee County,4.8,2015
Appanoose County,4.8,2015
Audubon County,3.9,2015
Benton County,3.8,2015
Black Hawk County,4.5,2015
Boone County,3,2015
Bremer County,3.5,2015
Buchanan County,4.2,2015
Buena Vista County,3.6,2015
Butler County,4.3,2015
Calhoun County,4.3,2015
Carroll County,2.6,2015
Cass County,3.6,2015
Cedar County,3.4,2015
Cerro Gordo County,3.9,2015
Cherokee County,5.1,2015
Chickasaw County,4.5,2015
Clarke County,4,2015
Clay County,3.6,2015
Clayton County,4.1,2015
Clinton County,4.9,2015
Crawford County,4.1,2015
Dallas County,2.8,2015
Davis County,4.4,2015
Decatur County,3.3,2015
Delaware County,3.3,2015
Des Moines County,4.7,2015
Dickinson County,3.8,2015
Dubuque County,3.6,2015
Emmet County,3.7,2015
Fayette County,4.5,2015
Floyd County,3.7,2015
Franklin County,3.3,2015
Fremont County,3.3,2015
Greene County,3.5,2015
Grundy County,3.8,2015
Guthrie County,3.7,2015
Hamilton County,4.2,2015
Hancock County,2.7,2015
Hardin County,3.9,2015
Harrison County,3.4,2015
Henry County,3.9,2015
Howard County,3.6,2015
Humboldt County,3.3,2015
Ida County,3.1,2015
Iowa County,3.5,2015
Jackson County,4.2,2015
Jasper County,3.8,2015
Jefferson County,3.8,2015
Johnson County,2.6,2015
Jones County,4.1,2015
Keokuk County,4.2,2015
Kossuth County,2.8,2015
Lee County,5.3,2015
Linn County,3.8,2015
Louisa County,3.8,2015
Lucas County,3.5,2015
Lyon County,2,2015
Madison County,3.9,2015
Mahaska County,3.9,2015
Marion County,3.2,2015
Marshall County,5,2015
Mills County,4,2015
Mitchell County,2.8,2015
Monona County,4.3,2015
Monroe County,4.4,2015
Montgomery County,3.5,2015
Muscatine County,3.8,2015
O'Brien County,2.8,2015
Osceola County,2.8,2015
Page County,4.1,2015
Palo Alto County,3.1,2015
Plymouth County,2.8,2015
Pocahontas County,3,2015
Polk County,3.6,2015
Pottawattamie County,3.6,2015
Poweshiek County,3.6,2015
Ringgold County,3.3,2015
Sac County,3.3,2015
Scott County,4.6,2015
Shelby County,2.8,2015
Sioux County,2.4,2015
Story County,2.5,2015
Tama County,4.3,2015
Taylor County,3.1,2015
Union County,4.1,2015
Van Buren County,4,2015
Wapello County,5.1,2015
Warren County,3.4,2015
Washington County,3.1,2015
Wayne County,3.9,2015
Webster County,4.3,2015
Winnebago County,3.9,2015
Winneshiek County,3.6,2015
Woodbury County,3.7,2015
Worth County,3.9,2015
Wright County,3.9,2015
Adair County,2.9,2016
Adams County,2.6,2016
Allamakee County,4.9,2016
Appanoose County,4.7,2016
Audubon County,3.3,2016
Benton County,3.6,2016
Black Hawk County,4.6,2016
Boone County,2.8,2016
Bremer County,3.5,2016
Buchanan County,4.1,2016
Buena Vista County,3.5,2016
Butler County,4.3,2016
Calhoun County,3.7,2016
Carroll County,2.5,2016
Cass County,3.2,2016
Cedar County,3.3,2016
Cerro Gordo County,3.6,2016
Cherokee County,3.6,2016
Chickasaw County,4.4,2016
Clarke County,3.3,2016
Clay County,3.8,2016
Clayton County,4.2,2016
Clinton County,4.9,2016
Crawford County,5.4,2016
Dallas County,2.6,2016
Davis County,4.2,2016
Decatur County,3.2,2016
Delaware County,3.4,2016
Des Moines County,4.9,2016
Dickinson County,4.3,2016
Dubuque County,3.5,2016
Emmet County,4.2,2016
Fayette County,4.4,2016
Floyd County,3.6,2016
Franklin County,3.4,2016
Fremont County,3.3,2016
Greene County,3.1,2016
Grundy County,3.4,2016
Guthrie County,3.6,2016
Hamilton County,3.7,2016
Hancock County,2.7,2016
Hardin County,3.9,2016
Harrison County,3.4,2016
Henry County,3.5,2016
Howard County,3.6,2016
Humboldt County,2.9,2016
Ida County,2.5,2016
Iowa County,3.1,2016
Jackson County,4.1,2016
Jasper County,3.5,2016
Jefferson County,3.6,2016
Johnson County,2.6,2016
Jones County,4.2,2016
Keokuk County,4.3,2016
Kossuth County,2.6,2016
Lee County,6,2016
Linn County,3.6,2016
Louisa County,3.9,2016
Lucas County,3.1,2016
Lyon County,2,2016
Madison County,3.5,2016
Mahaska County,3.7,2016
Marion County,3,2016
Marshall County,4.9,2016
Mills County,3.6,2016
Mitchell County,2.6,2016
Monona County,4,2016
Monroe County,4.6,2016
Montgomery County,3.5,2016
Muscatine County,3.8,2016
O'Brien County,2.7,2016
